No,Nama Objek Wisata,Wilayah Kota,Latitude,Longitude,Skor_Live_OSM_Base,Skor_Live_OSM_Max_Sempit
1,1. Alun-Alun Surabaya,Pusat,-7.26359,112.745317,2.0,3.0
2,2. Jalan Tunjungan,Pusat,-7.25935,112.738873,2.0,3.0
3,3. Hotel Majapahit,Pusat,-7.260158,112.739698,2.0,3.0
4,4. Gedung Negara Grahadi,Pusat,-7.262953,112.743378,2.0,3.0
5,5. Monumen Bambu Runcing,Pusat,-7.267778,112.744399,2.0,3.0
6,6. Taman Apsari,Pusat,-7.264617,112.742802,2.0,3.0
7,7. Monumen Kapal Selam,Pusat,-7.265591,112.750327,2.0,3.0
8,8. Plaza Surabaya,Pusat,-7.264877,112.748545,2.0,3.0
9,9. Taman Prestasi,Pusat,-7.259885,112.745484,2.0,3.0
10,10. Gedung Siola,Pusat,-7.256157,112.736453,2.0,3.0
11,11. Pasar Blauran,Pusat,-7.255906,112.733742,2.0,3.0
12,12. Jalan Basuki Rahmat,Pusat,-7.265324,112.740889,2.0,3.0
13,13. Monumen Tugu Pahlawan,Pusat,-7.245814,112.737784,2.0,3.0
14,14. Jalan Kedungdoro,Pusat,-7.2585,112.7295,2.0,3.0
15,15. Taman Ekspresi,Pusat,-7.2541,112.7462,2.0,3.0
16,16. Jalan Raya Darmo Permai,Barat,-7.2841,112.6912,2.75,3.75
17,17. Graha Famili Timur,Barat,-7.28954,112.684025,2.75,3.75
18,18. Spazio Jalan Yono Soewoyo,Barat,-7.287814,112.68052,2.75,3.75
19,19. Plaza Segi Delapan,Barat,-7.284241,112.682142,2.75,3.75
20,20. Jalan HR Muhammad,Barat,-7.2848,112.6955,2.75,3.75
21,21. Taman Pradah Kalikendal,Barat,-7.2875,112.689,2.75,3.75
22,22. Kawasan Sukomanunggal,Barat,-7.262,112.701,2.75,3.75
23,23. Jalan Raya Kupang Indah,Barat,-7.2891,112.705,2.75,3.75
24,24. Taman Makam Pahlawan Mayjen Sungkono,Barat,-7.2915,112.712,2.75,3.75
25,25. Ciputra World Surabaya,Barat,-7.2912,112.723,2.75,3.75
26,26. Kampus B Unair,Timur,-7.2681,112.7582,2.3,3.3
27,27. Jalan Dharmahusada,Timur,-7.269,112.765,2.3,3.3
28,28. Taman Mojo,Timur,-7.2725,112.768,2.3,3.3
29,29. Jalan Manyar Kertoarjo,Timur,-7.2758,112.766,2.3,3.3
30,30. Kampus A Unair Kedokteran,Timur,-7.2662,112.753,2.3,3.3
31,31. Jalan Kertajaya Indah,Timur,-7.2762,112.775,2.3,3.3
32,32. Taman Flora Bratang,Timur,-7.296214,112.76054,2.3,3.3
33,33. Taman Kebun Bibit Bratang,Timur,-7.29584,112.759215,2.3,3.3
34,34. Jalan Karang Menur,Timur,-7.271,112.761,2.3,3.3
35,35. Kawasan Menur Pumpungan,Timur,-7.286,112.772,2.3,3.3
36,36. Jembatan Merah Surabaya,Utara,-7.234812,112.738145,3.8,4.8
37,37. Kya-Kya Kembang Jepun,Utara,-7.236112,112.741215,3.8,4.8
38,38. House of Sampoerna,Utara,-7.230815,112.734215,3.8,4.8
39,39. Stasiun Surabaya Kota (Semut),Utara,-7.2385,112.7432,3.8,4.8
40,40. Kawasan Ampel Suci,Utara,-7.2312,112.7425,3.8,4.8
41,41. Taman Jayengrono,Utara,-7.2355,112.7375,3.8,4.8
42,42. Jalan Rajawali,Utara,-7.2345,112.731,3.8,4.8
43,43. Gedung Cerutu,Utara,-7.2351,112.7368,3.8,4.8
44,44. Jalan Kembang Jepun Timur,Utara,-7.2372,112.746,3.8,4.8
45,45. Kawasan Kapasan,Utara,-7.2415,112.748,3.8,4.8
46,46. Taman Bungkul,Selatan,-7.29134,112.739815,2.0,3.0
47,47. Jalan Raya Darmo (CFD),Selatan,-7.28552,112.74153,2.0,3.0
48,48. Kebun Binatang Surabaya,Selatan,-7.29653,112.73654,2.0,3.0
49,49. Patung Suro dan Boyo,Selatan,-7.295215,112.737214,2.0,3.0
50,50. Kawasan Kampus Ketintang Unesa,Selatan,-7.314215,112.72653,2.0,3.0
