Stop,Location,Latitude,Longitude,Distance_to_Next_km,Duration_to_Next_min,Cumulative_Distance_km
1,5. Balai Kota,-7.258915689406389,112.74697395344757,1.274,15.3,1.274
2,1. Monumen Kapal Selam,-7.265410059195408,112.75037011433137,2.456,29.5,3.731
3,7. Siola,-7.25595571244258,112.73746230912607,0.611,7.3,4.342
4,4. Hotel Majapahit,-7.259988100047134,112.73970862774556,3.547,42.6,7.889
5,10. Gereja Katolik,-7.241962063990222,112.7366016964994,2.603,31.2,10.492
6,6. House of Sampoerna,-7.230636344780059,112.73436314546284,0.544,6.5,11.036
7,9. Gedung De Javasche Bank,-7.23330082321326,112.73678729077598,0.578,6.9,11.614
8,3. Jembatan Merah,-7.236498244381859,112.73832001174087,1.332,16.0,12.946
9,2. Tugu Pahlawan,-7.245342121633903,112.73790561416419,3.087,37.0,16.033
10,8. Rumah WR Soepratman,-7.250443810150336,112.75381241428371,1.87,22.4,17.903
