,1. Monumen Kapal Selam,2. Tugu Pahlawan,3. Jembatan Merah,4. Hotel Majapahit,5. Balai Kota,6. House of Sampoerna,7. Siola,8. Rumah WR Soepratman,9. Gedung De Javasche Bank,10. Gereja Katolik
1. Monumen Kapal Selam,0.0,4.7911,6.6587,3.0000999999999998,1.5968,6.8773,2.4565,3.6073000000000004,6.7279,5.3623
2. Tugu Pahlawan,3.8276,0.0,3.0583,1.7798,3.4804,3.2769,1.7969000000000002,3.0869,3.1275,1.7619
3. Jembatan Merah,4.818,1.3317999999999999,0.0,3.1068000000000002,3.5858000000000003,1.829,3.124,3.4791,1.2141,1.1461
4. Hotel Majapahit,2.2865,2.9756,4.8431999999999995,0.0,1.9393,5.0618,1.5747,3.9499,4.9124,3.5468
5. Balai Kota,1.2745,3.5216999999999996,5.389399999999999,2.1773000000000002,0.0,5.608,1.6337000000000002,2.4125,5.4585,4.0929
6. House of Sampoerna,5.8899,2.0088,1.072,3.7836999999999996,4.6577,0.0,3.8009,4.5511,0.544,1.823
7. Siola,2.67,2.1285,3.9960999999999998,0.6113,2.3228,4.2147,0.0,3.8129,4.065300000000001,2.6997
8. Rumah WR Soepratman,2.5215,4.2273000000000005,6.0949,3.9248000000000003,1.8697000000000001,6.3135,3.3811999999999998,0.0,6.1641,4.7985
9. Gedung De Javasche Bank,5.396199999999999,1.515,0.5782,3.29,4.164,0.7252000000000001,3.3072,4.057300000000001,0.0,1.3293
10. Gereja Katolik,7.2021999999999995,3.3211,2.3843,5.096,5.97,2.6029,5.1132,5.8633999999999995,2.4534000000000002,0.0
