Stop,Location,Elevation_m,Dist_to_next_km,Effort_climb_m,Violation,Fatigue_after_leg
1,18. Gerbang Depan ITS ⭐ START/END,3.0,4.172,0.0,0,0.0
2,28. Jembatan Suroboyo (Kenjeran),2.0,1.084,0.0,0,0.0
3,21. Klenteng Sanggar Agung,0.0,9.636,9.0,1,7.38
4,2. Tugu Pahlawan,9.0,3.05,0.0,0,6.052
5,4. Hotel Majapahit,9.0,2.286,0.0,0,4.962
6,13. Gedung Negara Grahadi,7.0,0.654,0.0,0,4.069
7,24. Monumen Bambu Runcing,7.0,3.555,0.0,0,3.337
8,17. Kampung Lawang Seketeng,7.0,0.465,0.0,0,2.736
9,15. Rumah HOS Tjokroaminoto,7.0,1.364,0.0,0,2.244
10,7. Museum Surabaya (Siola),7.0,3.084,4.0,1,5.12
11,9. Gedung De Javasche Bank,11.0,0.21,0.0,0,4.198
12,12. Gedung Internatio,11.0,0.007,0.0,0,3.443
13,19. Gedung Cerutu,11.0,1.36,0.0,0,2.823
14,10. Gereja Katolik Kepanjen,6.0,2.412,0.0,0,2.315
15,6. House of Sampoerna,6.0,1.205,0.0,0,1.898
16,3. Jembatan Merah,6.0,0.476,0.0,0,1.556
17,30. Kawasan Kota Tua Kembang Jepun,6.0,1.357,0.0,0,1.276
18,23. Klenteng Hong Tiek Hian,5.0,3.352,1.0,1,1.867
19,14. Kantor Pos Kebon Rojo,6.0,2.038,0.0,0,1.531
20,26. Penjara Kalisosok,5.0,1.957,0.0,0,1.255
21,31. Pura Agung Jagat Karana,5.0,1.899,0.0,0,1.029
22,11. Jembatan Petekan,5.0,6.467,0.0,0,0.844
23,1. Monumen Kapal Selam,4.0,1.69,22.0,1,18.732
24,20. Patung Karapan Sapi,26.0,13.155,0.0,0,15.36
25,27. Masjid Nasional Al-Akbar,12.0,10.113,0.0,0,12.595
26,29. Monumen Jenderal Sudirman,8.0,2.765,0.0,0,10.328
27,5. Balai Kota Surabaya,6.0,1.161,0.0,0,8.469
28,22. Museum Pendidikan,6.0,0.9,0.0,0,6.945
29,16. Makam Belanda Peneleh,5.0,3.697,0.0,0,5.695
30,8. Rumah WR Soepratman,5.0,3.278,0.0,0,4.67
31,25. Taman Prestasi,5.0,7.497,0.0,0,3.829
