Stop,Location,Elevation_m,Dist_to_next_km,Effort_climb_m,Violation,Fatigue_after_leg
1,18. Gerbang Depan ITS ⭐ START/END,3.0,6.37,1.0,0,0.786
2,1. Monumen Kapal Selam,4.0,0.903,3.0,0,2.975
3,24. Monumen Bambu Runcing,7.0,1.063,0.0,0,2.338
4,13. Gedung Negara Grahadi,7.0,1.456,1.0,0,2.624
5,29. Monumen Jenderal Sudirman,8.0,12.052,4.0,0,5.205
6,27. Masjid Nasional Al-Akbar,12.0,9.444,14.0,0,15.093
7,20. Patung Karapan Sapi,26.0,4.168,0.0,0,11.862
8,14. Kantor Pos Kebon Rojo,6.0,2.184,5.0,0,13.252
9,9. Gedung De Javasche Bank,11.0,0.216,0.0,0,10.414
10,19. Gedung Cerutu,11.0,0.149,0.0,0,8.185
11,3. Jembatan Merah,6.0,0.476,0.0,0,6.432
12,30. Kawasan Kota Tua Kembang Jepun,6.0,1.351,3.0,0,7.413
13,2. Tugu Pahlawan,9.0,0.973,0.0,0,5.826
14,17. Kampung Lawang Seketeng,7.0,0.465,0.0,0,4.578
15,15. Rumah HOS Tjokroaminoto,7.0,0.602,0.0,0,3.598
16,16. Makam Belanda Peneleh,5.0,1.89,2.0,0,4.399
17,7. Museum Surabaya (Siola),7.0,1.363,0.0,0,3.458
18,10. Gereja Katolik Kepanjen,6.0,2.279,0.0,0,2.717
19,31. Pura Agung Jagat Karana,5.0,1.899,0.0,0,2.135
20,11. Jembatan Petekan,5.0,1.862,1.0,0,2.464
21,6. House of Sampoerna,6.0,0.642,0.0,0,1.937
22,26. Penjara Kalisosok,5.0,0.407,6.0,0,6.237
23,12. Gedung Internatio,11.0,1.673,0.0,0,4.902
24,23. Klenteng Hong Tiek Hian,5.0,3.04,1.0,0,4.638
25,5. Balai Kota Surabaya,6.0,0.83,0.0,0,3.645
26,25. Taman Prestasi,5.0,1.246,4.0,0,6.008
27,4. Hotel Majapahit,9.0,1.151,0.0,0,4.722
28,22. Museum Pendidikan,6.0,3.062,0.0,0,3.711
29,8. Rumah WR Soepratman,5.0,6.74,0.0,0,2.916
30,21. Klenteng Sanggar Agung,0.0,1.28,2.0,0,3.864
31,28. Jembatan Suroboyo (Kenjeran),2.0,4.024,1.0,0,3.822
