Run,Score,Dist_km,MaxFatigue,Violations,Generations,ElevationGain_m,Compliance_%
1,106.15776437559629,77.24029999999999,15.402622143677542,0,100,45.0,100.0
2,107.79566042549834,81.08030000000001,14.229691674259115,0,100,40.0,100.0
3,109.99565391839438,80.67299999999996,15.618442636900172,0,100,42.0,100.0
4,106.5529545748488,76.70169999999997,15.899996927778389,0,100,49.0,100.0
5,114.91207560416264,87.59230000000001,14.551627874956093,0,100,45.0,100.0
6,114.54499845755376,83.45240000000001,16.56118736022187,0,100,55.0,100.0
7,103.60104221691955,75.2641,15.093412340909508,0,100,48.0,100.0
8,107.17775807619657,78.67359999999998,15.182478334504987,0,100,36.0,100.0
9,110.87772576561805,82.6058,15.05878192451086,0,100,37.0,100.0
10,111.36199845755374,80.26939999999999,16.56118736022187,0,100,50.0,100.0
