Algoritma,Run,Score,Dist_km,MaxFatigue,Violations
ACO,1,163.32613988421846,86.50470000000003,18.728575953687372,3
ACO,2,166.7864888146612,87.477,15.723795525864473,4
ACO,3,163.81047642241862,89.86260000000003,17.579150568967435,3
ACO,4,163.2776257879309,86.7868,18.596330315172366,3
ACO,5,172.38272544430282,92.4477,15.97401017772113,4
ACO,6,168.8250211742894,82.87670000000001,18.379328469715748,4
ACO,7,164.00187604778813,85.94839999999999,19.22139041911526,3
ACO,8,168.29835022612366,82.38970000000002,18.36346009044946,4
ACO,9,174.84863542396607,83.39450000000001,16.581654169586425,5
ACO,10,162.2405361418226,85.52969999999999,18.684334456729033,3
SA,1,175.98720557677058,101.9899,17.59892223070823,3
SA,2,183.9764807050591,97.83389999999999,18.457032282023643,4
SA,3,183.05535672376425,97.53519999999999,18.208062689505706,4
SA,4,173.8092208617389,94.92939999999999,19.551928344695565,3
SA,5,187.2865,100.13649999999998,18.86,4
SA,6,187.6676,100.5176,18.86,4
SA,7,185.00840000000002,97.85840000000003,18.86,4
SA,8,172.77835860957197,98.1326,17.858303443828785,3
SA,9,192.1293,94.97930000000001,18.86,5
SA,10,173.80182308777282,93.09290000000001,20.28356923510912,3
PSO,1,202.59765010704,106.8075,18.316060042815998,5
PSO,2,200.33676838209598,114.1707,18.466427352838398,4
PSO,3,189.5241745973724,105.459,17.626069838948954,4
PSO,4,178.19171128798246,100.02549999999998,19.266484515192985,3
PSO,5,215.13352199999997,108.48199999999999,18.6606088,6
PSO,6,214.6711237019901,101.53469999999999,17.25456948079605,7
PSO,7,196.93458315023892,104.7545,16.872033260095574,5
PSO,8,194.5917,107.4417,18.86,4
PSO,9,207.59317174725385,111.0607,18.612988698901543,5
PSO,10,218.1060142417947,121.95069999999998,18.462125696717887,5
GA,1,177.05890903543354,93.65999999999997,17.359563614173435,4
GA,2,177.01680209473253,94.5131,17.001480837893016,4
GA,3,188.9488,95.6488,21.32,4
GA,4,183.02139999999997,105.87139999999998,18.86,3
GA,5,178.52289330770418,83.63319999999999,17.955877323081683,5
GA,6,181.86219999999997,104.71219999999998,18.86,3
GA,7,185.71881687160618,96.329,19.75592674864247,4
GA,8,187.89051693197368,92.29119999999998,18.239726772789478,5
GA,9,173.81751043034748,88.80579999999999,18.004684172138997,4
GA,10,177.49478892283292,92.9291,17.826275569133166,4
