Stop,Location,Elevation_m,Original_Distance_km,Elevation_Gain_m,Elevation_Penalty_km,Effective_Distance_km,Time_minutes
1,18. Gerbang Depan ITS ⭐ START/END,3.0,6.619,23.0,1.15,7.769,93.2
2,20. Patung Karapan Sapi,26.0,5.872,0.0,0.0,5.872,70.5
3,9. Gedung De Javasche Bank,11.0,0.21,0.0,0.0,0.21,2.5
4,12. Gedung Internatio,11.0,0.007,0.0,0.0,0.007,0.1
5,19. Gedung Cerutu,11.0,1.083,0.0,0.0,1.083,13.0
6,2. Tugu Pahlawan,9.0,3.05,0.0,0.0,3.05,36.6
7,4. Hotel Majapahit,9.0,2.55,0.0,0.0,2.55,30.6
8,7. Museum Surabaya (Siola),7.0,1.584,0.0,0.0,1.584,19.0
9,17. Kampung Lawang Seketeng,7.0,2.037,0.0,0.0,2.037,24.4
10,13. Gedung Negara Grahadi,7.0,0.654,0.0,0.0,0.654,7.9
11,24. Monumen Bambu Runcing,7.0,1.887,0.0,0.0,1.887,22.6
12,22. Museum Pendidikan,6.0,2.178,1.0,0.05,2.228,26.7
13,15. Rumah HOS Tjokroaminoto,7.0,2.572,0.0,0.0,2.572,30.9
14,14. Kantor Pos Kebon Rojo,6.0,0.464,0.0,0.0,0.464,5.6
15,10. Gereja Katolik Kepanjen,6.0,2.057,0.0,0.0,2.057,24.7
16,3. Jembatan Merah,6.0,1.966,0.0,0.0,1.966,23.6
17,6. House of Sampoerna,6.0,1.283,0.0,0.0,1.283,15.4
18,11. Jembatan Petekan,5.0,2.514,0.0,0.0,2.514,30.2
19,23. Klenteng Hong Tiek Hian,5.0,3.04,1.0,0.05,3.09,37.1
20,5. Balai Kota Surabaya,6.0,0.83,0.0,0.0,0.83,10.0
21,25. Taman Prestasi,5.0,1.354,0.0,0.0,1.354,16.2
22,16. Makam Belanda Peneleh,5.0,3.634,0.0,0.0,3.634,43.6
23,1. Monumen Kapal Selam,4.0,3.602,1.0,0.05,3.652,43.8
24,8. Rumah WR Soepratman,5.0,6.74,0.0,0.0,6.74,80.9
25,21. Klenteng Sanggar Agung,0.0,5.326,3.0,0.15,5.476,65.7
