Stop,Location,Latitude,Longitude,Elevation_m,Original_Distance_km,Elevation_Gain_m,Elevation_Penalty_km,Effective_Distance_km,Time_minutes,Cumulative_Elevation_Gain_m
1,18. Gerbang Depan ITS ⭐ START/END,-7.279395032652996,112.79009468032517,3.0,6.619,23.0,1.15,7.769,93.2,23.0
2,20. Patung Karapan Sapi,-7.272209191963128,112.74209506903166,26.0,1.316,0.0,0.0,1.316,15.8,23.0
3,13. Gedung Negara Grahadi,-7.263524,112.743179,7.0,0.966,0.0,0.0,0.966,11.6,23.0
4,25. Taman Prestasi,-7.261174085645066,112.74291416110384,5.0,0.786,1.0,0.05,0.836,10.0,24.0
5,22. Museum Pendidikan,-7.255254406638845,112.74278515368215,6.0,1.712,1.0,0.05,1.762,21.1,25.0
6,17. Kampung Lawang Seketeng,-7.250495592744265,112.74075173450092,7.0,0.465,0.0,0.0,0.465,5.6,25.0
7,15. Rumah HOS Tjokroaminoto,-7.252464,112.737747,7.0,0.602,0.0,0.0,0.602,7.2,25.0
8,16. Makam Belanda Peneleh,-7.253019586881285,112.74035309946457,5.0,2.828,2.0,0.1,2.928,35.1,27.0
9,24. Monumen Bambu Runcing,-7.267096754354455,112.74418425368475,7.0,2.278,0.0,0.0,2.278,27.3,27.0
10,1. Monumen Kapal Selam,-7.2654,112.7503,4.0,1.598,2.0,0.1,1.698,20.4,29.0
11,5. Balai Kota Surabaya,-7.2589,112.7469,6.0,2.079,3.0,0.15,2.229,26.7,32.0
12,4. Hotel Majapahit,-7.2573,112.7388,9.0,2.55,0.0,0.0,2.55,30.6,32.0
13,7. Museum Surabaya (Siola),-7.2514,112.7363,7.0,1.353,2.0,0.1,1.453,17.4,34.0
14,2. Tugu Pahlawan,-7.2453,112.7379,9.0,1.201,0.0,0.0,1.201,14.4,34.0
15,10. Gereja Katolik Kepanjen,-7.2435,112.7335,6.0,1.918,5.0,0.25,2.168,26.0,39.0
16,9. Gedung De Javasche Bank,-7.2365,112.7358,11.0,0.216,0.0,0.0,0.216,2.6,39.0
17,19. Gedung Cerutu,-7.2360970729302325,112.73704713519352,11.0,0.895,0.0,0.0,0.895,10.7,39.0
18,14. Kantor Pos Kebon Rojo,-7.243218,112.7377,6.0,2.68,0.0,0.0,2.68,32.2,39.0
19,6. House of Sampoerna,-7.2306,112.7343,6.0,1.283,0.0,0.0,1.283,15.4,39.0
20,11. Jembatan Petekan,-7.222192,112.738044,5.0,3.483,6.0,0.3,3.783,45.4,45.0
21,12. Gedung Internatio,-7.236281,112.736915,11.0,0.156,0.0,0.0,0.156,1.9,45.0
22,3. Jembatan Merah,-7.2365,112.7383,6.0,1.517,0.0,0.0,1.517,18.2,45.0
23,23. Klenteng Hong Tiek Hian,-7.2367971558297395,112.74387553040685,5.0,2.928,0.0,0.0,2.928,35.1,45.0
24,8. Rumah WR Soepratman,-7.2504,112.7538,5.0,6.74,0.0,0.0,6.74,80.9,45.0
25,21. Klenteng Sanggar Agung,-7.247199578801502,112.80219558900477,0.0,5.326,3.0,0.15,5.476,65.7,48.0
