Stop,Location,Elevation_m,Original_Distance_km,Elevation_Gain_m,Elevation_Penalty_km,Effective_Distance_km,Time_minutes
1,18. Gerbang Depan ITS ⭐ START/END,3.0,6.619,23.0,1.15,7.769,93.2
2,20. Patung Karapan Sapi,26.0,5.872,0.0,0.0,5.872,70.5
3,9. Gedung De Javasche Bank,11.0,0.21,0.0,0.0,0.21,2.5
4,12. Gedung Internatio,11.0,0.007,0.0,0.0,0.007,0.1
5,19. Gedung Cerutu,11.0,1.083,0.0,0.0,1.083,13.0
6,2. Tugu Pahlawan,9.0,3.05,0.0,0.0,3.05,36.6
7,4. Hotel Majapahit,9.0,2.286,0.0,0.0,2.286,27.4
8,13. Gedung Negara Grahadi,7.0,0.654,0.0,0.0,0.654,7.9
9,24. Monumen Bambu Runcing,7.0,2.709,0.0,0.0,2.709,32.5
10,7. Museum Surabaya (Siola),7.0,1.584,0.0,0.0,1.584,19.0
11,17. Kampung Lawang Seketeng,7.0,0.465,0.0,0.0,0.465,5.6
12,15. Rumah HOS Tjokroaminoto,7.0,1.227,0.0,0.0,1.227,14.7
13,22. Museum Pendidikan,6.0,2.402,0.0,0.0,2.402,28.8
14,5. Balai Kota Surabaya,6.0,3.886,0.0,0.0,3.886,46.6
15,10. Gereja Katolik Kepanjen,6.0,2.412,0.0,0.0,2.412,29.0
16,6. House of Sampoerna,6.0,1.205,0.0,0.0,1.205,14.5
17,3. Jembatan Merah,6.0,1.141,0.0,0.0,1.141,13.7
18,14. Kantor Pos Kebon Rojo,6.0,4.404,0.0,0.0,4.404,52.9
19,11. Jembatan Petekan,5.0,2.514,0.0,0.0,2.514,30.2
20,23. Klenteng Hong Tiek Hian,5.0,2.928,0.0,0.0,2.928,35.1
21,8. Rumah WR Soepratman,5.0,3.278,0.0,0.0,3.278,39.3
22,25. Taman Prestasi,5.0,1.354,0.0,0.0,1.354,16.2
23,16. Makam Belanda Peneleh,5.0,3.634,0.0,0.0,3.634,43.6
24,1. Monumen Kapal Selam,4.0,9.849,0.0,0.0,9.849,118.2
25,21. Klenteng Sanggar Agung,0.0,5.326,3.0,0.15,5.476,65.7
