Stop,Location,Latitude,Longitude,Distance_km,Time_minutes
1,5. Balai Kota,-7.258915689406389,112.74697395344757,4.09,49.1
2,10. Gereja Katolik,-7.241962063990222,112.7366016964994,2.6,31.2
3,6. House of Sampoerna,-7.230636344780059,112.73436314546284,0.54,6.5
4,9. Gedung De Javasche Bank,-7.23330082321326,112.73678729077598,0.58,6.9
5,3. Jembatan Merah,-7.236498244381859,112.73832001174087,1.33,16.0
6,2. Tugu Pahlawan,-7.245342121633903,112.73790561416419,1.8,21.6
7,7. Siola,-7.25595571244258,112.73746230912607,0.61,7.3
8,4. Hotel Majapahit,-7.259988100047134,112.73970862774556,2.29,27.4
9,1. Monumen Kapal Selam,-7.265410059195408,112.75037011433137,3.61,43.3
10,8. Rumah WR Soepratman,-7.250443810150336,112.75381241428371,1.87,22.4
