Stop,Location,Latitude,Longitude,Elevation_m,Original_Distance_km,Elevation_Diff_m,Elevation_Penalty_km,Effective_Distance_km,Time_minutes
1,5. Balai Kota,-7.258915689406389,112.74697395344757,6.0,2.177,4.0,0.2,2.377,28.5
2,4. Hotel Majapahit,-7.259988100047134,112.73970862774556,10.0,1.176,3.0,0.0,1.176,14.1
3,11. Masjid Al-Akbar,-7.26083,112.7345,7.0,1.755,1.0,0.0,1.755,21.1
4,21. Masjid Agung Surabaya,-7.25234,112.72789,6.0,2.003,2.0,0.1,2.103,25.2
5,7. Siola,-7.25595571244258,112.73746230912607,8.0,0.51,0.0,0.0,0.51,6.1
6,13. Taman Prestasi,-7.25562,112.73589,8.0,1.975,1.0,0.05,2.025,24.3
7,2. Tugu Pahlawan,-7.245342121633903,112.73790561416419,9.0,1.762,2.0,0.0,1.762,21.1
8,10. Gereja Katolik,-7.241962063990222,112.7366016964994,7.0,2.603,1.0,0.0,2.603,31.2
9,6. House of Sampoerna,-7.230636344780059,112.73436314546284,6.0,0.544,1.0,0.05,0.594,7.1
10,9. Gedung De Javasche Bank,-7.23330082321326,112.73678729077598,7.0,0.578,1.0,0.0,0.578,6.9
11,3. Jembatan Merah,-7.236498244381859,112.73832001174087,6.0,1.071,1.0,0.0,1.071,12.8
12,14. Monumen Bambu Runcing,-7.23745,112.74632,5.0,2.409,2.0,0.1,2.509,30.1
13,15. Pecinan Surabaya,-7.23128,112.73845,7.0,1.893,2.0,0.0,1.893,22.7
14,16. Benteng Oranje,-7.22765,112.74689,5.0,3.502,2.0,0.0,3.502,42.0
15,24. Candi Tikus,-7.22734,112.75812,3.0,1.397,1.0,0.05,1.447,17.4
16,25. Delta Pantai Surabaya,-7.23345,112.76234,4.0,2.136,2.0,0.1,2.236,26.8
17,23. Taman Hiburan Ancol,-7.24456,112.75987,6.0,2.911,2.0,0.0,2.911,34.9
18,19. Bukit Mas Surabaya,-7.24178,112.76834,4.0,10.32,4.0,0.2,10.52,126.2
19,18. Kompleks Militer ITS,-7.28234,112.79621,8.0,6.703,4.0,0.0,6.703,80.4
20,20. Kebun Bibit Wonokromo,-7.26923,112.76412,4.0,2.263,0.0,0.0,2.263,27.2
21,1. Monumen Kapal Selam,-7.265410059195408,112.75037011433137,4.0,3.153,1.0,0.05,3.203,38.4
22,12. Museum Sepuluh November,-7.24835,112.7532,5.0,0.621,0.0,0.0,0.621,7.5
23,8. Rumah WR Soepratman,-7.250443810150336,112.75381241428371,5.0,2.299,1.0,0.05,2.349,28.2
24,17. Pasar Atum,-7.25012,112.74756,6.0,0.726,0.0,0.0,0.726,8.7
25,22. Lapangan Tunjungan,-7.25321,112.74456,6.0,1.003,0.0,0.0,1.003,12.0
