Stop,Location,Latitude,Longitude,Time_From_Start,Distance_to_Next_km,Time_to_Next_minutes
1,5. Balai Kota,-7.258915689406389,112.74697395344757,00:00,1.634,19.6
2,7. Siola,-7.25595571244258,112.73746230912607,00:19,0.611,7.3
3,4. Hotel Majapahit,-7.259988100047134,112.73970862774556,00:26,3.547,42.6
4,10. Gereja Katolik,-7.241962063990222,112.7366016964994,01:09,2.603,31.2
5,6. House of Sampoerna,-7.230636344780059,112.73436314546284,01:40,0.544,6.5
6,9. Gedung De Javasche Bank,-7.23330082321326,112.73678729077598,01:47,0.578,6.9
7,3. Jembatan Merah,-7.236498244381859,112.73832001174087,01:54,1.332,16.0
8,2. Tugu Pahlawan,-7.245342121633903,112.73790561416419,02:10,3.087,37.0
9,8. Rumah WR Soepratman,-7.250443810150336,112.75381241428371,02:47,2.522,30.3
10,1. Monumen Kapal Selam,-7.265410059195408,112.75037011433137,03:17,1.597,19.2
