Run,Original_km,Total_Elev_Gain_m,Elevation_Penalty_km,Effective_km,Time_min,Generations
1,60.525500000000015,42.0,2.1000000000000014,62.62550000000002,751.5060000000002,50
2,60.770900000000005,42.0,2.099999999999987,62.87089999999999,754.4507999999998,50
3,62.7046,46.0,2.299999999999997,65.0046,780.0551999999999,50
4,53.289300000000004,45.0,2.250000000000007,55.53930000000001,666.4716000000001,50
5,57.7083,42.0,2.1000000000000014,59.8083,717.6996,50
6,55.2493,48.0,2.4000000000000057,57.649300000000004,691.7916,50
7,61.702299999999994,43.0,2.1499999999999915,63.852299999999985,766.2275999999998,50
8,59.127399999999994,40.0,2.0,61.127399999999994,733.5287999999999,50
9,59.509699999999995,42.0,2.1000000000000085,61.609700000000004,739.3164,50
10,53.3125,38.0,1.9000000000000057,55.212500000000006,662.5500000000001,50
