Run,Original_km,Elev_Gain_m,Penalty_km,Effective_km,Priority_Score,Disorder,Time_min,Generations
1,76.23590000000002,27.0,1.3499999999999943,77.58590000000001,0.17513846153846152,0.24000000000000002,931.0308000000001,50
2,75.26559999999999,28.0,1.4000000000000057,76.6656,0.17267692307692306,0.25,919.9871999999999,50
3,72.58090000000001,27.0,1.3500000000000085,73.93090000000002,0.17495384615384615,0.24000000000000002,887.1708000000003,50
4,80.67409999999998,30.0,1.5000000000000142,82.1741,0.17359999999999995,0.27,986.0891999999999,50
5,82.17300000000002,28.0,1.3999999999999915,83.57300000000001,0.17458461538461534,0.25,1002.8760000000001,50
6,72.69470000000001,29.0,1.4500000000000028,74.14470000000001,0.17378461538461532,0.26,889.7364000000002,50
7,72.86110000000001,28.0,1.4000000000000057,74.26110000000001,0.17470769230769226,0.25,891.1332000000002,50
8,77.754,27.0,1.3500000000000085,79.10400000000001,0.17495384615384613,0.24000000000000002,949.2480000000002,50
9,76.4454,29.0,1.4500000000000028,77.89540000000001,0.1743384615384615,0.26,934.7448,50
10,82.89750000000001,29.0,1.4500000000000028,84.34750000000001,0.17483076923076923,0.26,1012.1700000000001,50
