Run,Original_km,Elev_Gain_m,Penalty_km,Effective_km,Elev_Priority,Disorder,Time_min,Generations
1,81.7682,27.0,1.3500000000000085,83.1182,0.17513846153846152,0.24000000000000002,997.4184000000001,50
2,73.8246,28.0,1.3999999999999915,75.2246,0.1727384615384615,0.25,902.6952,50
3,70.9717,28.0,1.4000000000000057,72.3717,0.17495384615384613,0.25,868.4604,50
4,80.8861,28.0,1.4000000000000057,82.2861,0.17446153846153845,0.25,987.4331999999999,50
5,83.923,28.0,1.4000000000000057,85.32300000000001,0.17083076923076923,0.25,1023.8760000000001,50
6,72.6419,28.0,1.4000000000000057,74.04190000000001,0.17396923076923074,0.25,888.5028000000002,50
7,74.4279,27.0,1.3500000000000085,75.7779,0.17483076923076923,0.24000000000000002,909.3348000000001,50
8,70.0999,26.0,1.3000000000000114,71.39990000000002,0.17519999999999997,0.23,856.7988000000003,50
9,73.01599999999999,28.0,1.4000000000000057,74.416,0.1745846153846154,0.25,892.992,50
10,74.00870000000002,26.0,1.2999999999999972,75.30870000000002,0.17519999999999997,0.23,903.7044000000002,50
