Run,Original_km,Elev_Gain_m,Penalty_km,Effective_km,Priority_Score,Disorder,Time_min,Generations,Constraint_%,Violations
1,76.89850000000001,29.0,1.4500000000000028,78.34850000000002,0.1733538461538461,0.26,235.04550000000003,50,83.33333333333334,4
2,76.17750000000001,27.0,1.3500000000000085,77.52750000000002,0.17273846153846154,0.24,232.58250000000004,50,87.5,3
3,82.4648,26.0,1.2999999999999972,83.7648,0.17519999999999997,0.23,251.29439999999997,50,95.83333333333334,1
4,73.17580000000001,27.0,1.3500000000000085,74.52580000000002,0.17507692307692305,0.24000000000000002,223.57740000000007,50,91.66666666666666,2
5,75.3264,30.0,1.5000000000000142,76.82640000000002,0.1742153846153846,0.27,230.47920000000005,50,83.33333333333334,4
6,68.7755,28.0,1.4000000000000057,70.1755,0.1746461538461539,0.25,210.5265,50,87.5,3
7,78.4698,29.0,1.4500000000000028,79.91980000000001,0.17187692307692312,0.26,239.75940000000003,50,83.33333333333334,4
8,80.27,28.0,1.40000000000002,81.67000000000002,0.17433846153846155,0.25,245.01000000000005,50,87.5,3
9,77.2835,27.0,1.3500000000000085,78.63350000000001,0.17483076923076918,0.24000000000000002,235.90050000000005,50,91.66666666666666,2
10,71.0875,28.0,1.4000000000000057,72.48750000000001,0.17396923076923074,0.25,217.46250000000003,50,91.66666666666666,2
