Stop,Location,Elevation_m,Distance_km,Elevation_Gain_m
1,18. Gerbang Depan ITS ⭐ START/END,3.0,6.619,23.0
2,20. Patung Karapan Sapi,26.0,5.872,0.0
3,9. Gedung De Javasche Bank,11.0,0.21,0.0
4,12. Gedung Internatio,11.0,0.007,0.0
5,19. Gedung Cerutu,11.0,1.083,0.0
6,2. Tugu Pahlawan,9.0,3.05,0.0
7,4. Hotel Majapahit,9.0,2.94,0.0
8,24. Monumen Bambu Runcing,7.0,3.555,0.0
9,17. Kampung Lawang Seketeng,7.0,0.465,0.0
10,15. Rumah HOS Tjokroaminoto,7.0,1.364,0.0
11,7. Museum Surabaya (Siola),7.0,1.668,0.0
12,13. Gedung Negara Grahadi,7.0,1.352,0.0
13,5. Balai Kota Surabaya,6.0,1.161,0.0
14,22. Museum Pendidikan,6.0,2.958,0.0
15,23. Klenteng Hong Tiek Hian,5.0,3.336,1.0
16,10. Gereja Katolik Kepanjen,6.0,2.803,0.0
17,14. Kantor Pos Kebon Rojo,6.0,2.324,0.0
18,3. Jembatan Merah,6.0,1.966,0.0
19,6. House of Sampoerna,6.0,1.283,0.0
20,11. Jembatan Petekan,5.0,5.123,0.0
21,8. Rumah WR Soepratman,5.0,3.278,0.0
22,25. Taman Prestasi,5.0,1.354,0.0
23,16. Makam Belanda Peneleh,5.0,3.634,0.0
24,1. Monumen Kapal Selam,4.0,9.849,0.0
25,21. Klenteng Sanggar Agung,0.0,5.326,3.0
