Stop,Location,Elevation_m,Distance_km,Elevation_Gain_m
1,18. Gerbang Depan ITS ⭐ START/END,3.0,6.619,23.0
2,20. Patung Karapan Sapi,26.0,5.872,0.0
3,9. Gedung De Javasche Bank,11.0,0.21,0.0
4,12. Gedung Internatio,11.0,0.007,0.0
5,19. Gedung Cerutu,11.0,1.083,0.0
6,2. Tugu Pahlawan,9.0,3.05,0.0
7,4. Hotel Majapahit,9.0,1.953,0.0
8,15. Rumah HOS Tjokroaminoto,7.0,1.647,0.0
9,13. Gedung Negara Grahadi,7.0,0.654,0.0
10,24. Monumen Bambu Runcing,7.0,2.709,0.0
11,7. Museum Surabaya (Siola),7.0,1.584,0.0
12,17. Kampung Lawang Seketeng,7.0,1.617,0.0
13,22. Museum Pendidikan,6.0,2.402,0.0
14,5. Balai Kota Surabaya,6.0,0.83,0.0
15,25. Taman Prestasi,5.0,3.259,0.0
16,8. Rumah WR Soepratman,5.0,4.238,1.0
17,10. Gereja Katolik Kepanjen,6.0,2.057,0.0
18,3. Jembatan Merah,6.0,1.141,0.0
19,14. Kantor Pos Kebon Rojo,6.0,2.68,0.0
20,6. House of Sampoerna,6.0,1.283,0.0
21,11. Jembatan Petekan,5.0,2.514,0.0
22,23. Klenteng Hong Tiek Hian,5.0,4.271,0.0
23,1. Monumen Kapal Selam,4.0,2.569,1.0
24,16. Makam Belanda Peneleh,5.0,9.2,0.0
25,21. Klenteng Sanggar Agung,0.0,5.326,3.0
