Stop,Location,Elevation_m,Distance_km,Elevation_Gain_m
1,18. Gerbang Depan ITS ⭐ START/END,3.0,5.256,0.0
2,21. Klenteng Sanggar Agung,0.0,10.23,5.0
3,11. Jembatan Petekan,5.0,1.862,1.0
4,6. House of Sampoerna,6.0,1.049,5.0
5,12. Gedung Internatio,11.0,3.087,0.0
6,9. Gedung De Javasche Bank,11.0,1.576,0.0
7,10. Gereja Katolik Kepanjen,6.0,2.057,0.0
8,3. Jembatan Merah,6.0,3.316,5.0
9,19. Gedung Cerutu,11.0,0.895,0.0
10,14. Kantor Pos Kebon Rojo,6.0,3.841,0.0
11,23. Klenteng Hong Tiek Hian,5.0,2.447,1.0
12,22. Museum Pendidikan,6.0,0.9,0.0
13,16. Makam Belanda Peneleh,5.0,1.89,2.0
14,7. Museum Surabaya (Siola),7.0,1.353,2.0
15,2. Tugu Pahlawan,9.0,1.438,0.0
16,15. Rumah HOS Tjokroaminoto,7.0,2.325,2.0
17,4. Hotel Majapahit,9.0,2.286,0.0
18,13. Gedung Negara Grahadi,7.0,1.352,0.0
19,5. Balai Kota Surabaya,6.0,2.932,0.0
20,8. Rumah WR Soepratman,5.0,2.526,0.0
21,1. Monumen Kapal Selam,4.0,1.212,1.0
22,25. Taman Prestasi,5.0,1.487,2.0
23,24. Monumen Bambu Runcing,7.0,0.891,19.0
24,20. Patung Karapan Sapi,26.0,3.808,0.0
25,17. Kampung Lawang Seketeng,7.0,9.394,0.0
