,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,745.63,1812.16,2034.86,403.33,1102.7,576.44,2020.25,1916.99,1598.22,1542.79,1819.42,1897.33,2802.69,2109.41,1820.98,8581.5,10048.02,10024.61,9927.68,7991.98,9275.42,6816.06,7008.6,6285.64,5184.03,2770.99,3558.0,4300.03,4372.12,2719.53,5540.58,6006.54,5923.44,3449.12,6277.87,4293.5,3639.06,5259.52,3511.15,4337.74,4303.53,4421.45,4654.0,3412.15,3481.95,4086.42,3524.59,4885.59,5020.03,7664.08
Alun-Alun Surabaya,2807.05,0.0,2517.26,2739.96,1532.32,578.87,1362.48,1496.42,1393.17,1462.57,2247.89,2661.51,2144.86,3507.79,2951.5,1781.98,8302.14,9768.66,9916.9,9819.97,7962.99,8996.05,7063.71,6729.24,6006.28,4660.2,2247.17,3034.17,3776.2,3848.3,2195.7,5016.75,5482.72,5399.61,2925.3,5754.04,4998.6,4344.16,5964.62,4216.25,5042.83,5008.63,5126.55,5359.1,4117.25,3630.34,3562.6,3000.76,4361.76,4496.2,7140.26
Jalan Tunjungan,289.79,1035.41,0.0,222.7,693.12,1392.49,866.23,2310.04,2206.78,1888.01,1697.02,1315.85,1393.76,2530.21,1605.84,2110.77,8077.93,9544.45,9521.04,9424.11,7488.41,8771.85,6312.49,6505.03,5782.07,5411.59,3060.78,3847.79,4589.82,4661.91,3009.32,5830.37,6296.33,6213.23,3738.91,6567.66,4021.02,3928.85,4987.05,3800.94,4627.52,4031.06,4148.98,4381.53,3701.93,3771.74,4376.21,3814.38,5175.37,5309.82,7953.87
Hotel Majapahit,94.84,840.46,1840.33,0.0,498.17,1197.54,671.27,2115.09,2011.83,1693.06,1502.07,1120.9,1198.81,2335.26,1410.89,1915.81,7882.98,9349.5,9326.09,9229.16,7293.46,8576.9,6117.53,6310.08,5587.12,5216.64,2865.83,3652.83,4394.86,4466.96,2814.37,5635.42,6101.38,6018.28,3543.96,6372.71,3826.07,3733.89,4792.1,3605.99,4432.57,3836.1,3954.03,4186.58,3506.98,3576.79,4181.26,3619.42,4980.42,5114.87,7758.92
Gedung Negara Grahadi,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Monumen Bambu Runcing,3875.62,2347.94,3585.83,3808.53,2005.65,0.0,1835.81,1878.08,1009.16,2531.14,3316.47,3133.1,1565.99,4347.46,3423.09,2850.56,7723.27,9189.79,9338.02,9241.1,7384.12,8417.18,6484.84,6150.37,5427.4,4081.33,3116.71,3737.98,3709.81,3763.18,2540.15,4949.44,4903.84,4820.74,2840.18,5258.14,5838.27,5412.73,6804.3,5284.83,6111.41,5848.31,5966.23,6198.78,5185.82,4698.92,2983.73,2421.89,3782.89,3917.33,6561.38
Taman Apsari,3156.42,571.18,2866.64,3089.34,228.88,928.25,0.0,1845.8,1742.55,1811.95,2597.27,2629.79,2114.12,3844.16,2919.78,2131.36,8271.4,9737.92,9886.15,9789.23,7932.25,8965.31,7032.97,6698.5,5975.54,4629.46,2596.54,3383.55,4125.58,4197.67,2545.08,5366.13,5451.98,5368.87,3274.67,5806.28,5334.97,4693.53,6300.99,4565.63,5392.21,5345.0,5462.93,5695.47,4466.62,3979.72,3531.86,2970.02,4331.02,4465.46,7109.52
Monumen Kapal Selam,3143.85,2214.95,2854.07,3076.77,1872.65,830.91,1702.82,0.0,277.39,1799.38,2584.7,3001.84,2235.41,3844.59,3291.83,2118.79,8359.68,9826.2,9974.44,9877.51,8020.54,9053.6,7121.25,6786.79,6063.82,4717.74,2583.97,3370.98,3871.33,3924.7,2149.59,5110.96,5228.29,5145.19,3001.7,5582.59,5335.4,4680.96,6301.43,4553.06,5379.64,5345.44,5463.36,5695.91,4454.05,3967.15,3620.14,2746.33,4419.3,4553.75,7197.8
Plaza Surabaya,3144.86,2215.95,2855.07,3077.77,1873.66,920.21,1703.82,1172.92,0.0,1800.38,2585.7,3002.85,2486.2,3845.6,3292.84,2119.79,8643.48,10110.0,10258.24,10161.31,8304.33,9337.4,7405.05,7070.58,6347.62,5001.54,2584.98,3371.98,3593.95,3647.31,1872.2,4833.57,5461.8,5378.69,2724.31,5544.53,5336.41,4681.97,6302.43,4554.06,5380.65,5346.44,5464.37,5696.92,4455.06,3968.16,3903.94,3342.1,4703.1,4837.54,7481.6
Taman Prestasi,2074.98,1292.63,1785.2,2007.9,950.33,1649.7,1123.44,1544.26,1779.4,0.0,1515.83,2639.92,3178.96,2775.72,3042.31,797.25,9372.97,10839.49,10852.4,10755.48,9033.82,10066.88,7486.78,7800.07,7077.1,5731.03,2179.83,2966.83,3708.86,3780.96,2243.53,4949.41,5723.01,5639.9,2857.96,5686.7,4266.53,3419.33,5232.56,3291.43,4118.01,4276.57,4394.49,4627.04,3192.42,2751.04,4633.43,4071.59,5432.59,5567.03,8211.08
