iter	Accuracy	MultiClass
0	0.7251184834	1.813969986
1	0.7340047393	1.70919751
2	0.7624407583	1.632679915
3	0.7843601896	1.571961525
4	0.7908767773	1.510197657
5	0.7991706161	1.445955689
6	0.7867298578	1.395819239
7	0.7991706161	1.339084466
8	0.8015402844	1.285051625
9	0.8122037915	1.241201593
10	0.8199052133	1.205527327
11	0.8317535545	1.167710817
12	0.8436018957	1.138695723
13	0.8418246445	1.098768558
14	0.8400473934	1.065674465
15	0.8518957346	1.03076021
16	0.855450237	1.005935231
17	0.8542654028	0.9814042954
18	0.8637440758	0.9535710371
19	0.86492891	0.9309102124
20	0.865521327	0.9100130719
21	0.8672985782	0.8848532657
22	0.8661137441	0.8642896499
23	0.8720379147	0.8439114748
24	0.8702606635	0.8260961214
25	0.8767772512	0.8044185979
26	0.8803317536	0.7860238344
27	0.8779620853	0.7708148516
28	0.8815165877	0.7592409956
29	0.8815165877	0.7403802104
30	0.8838862559	0.7219499547
31	0.8832938389	0.7101232868
32	0.8832938389	0.6976102453
33	0.8892180095	0.6858444518
34	0.8892180095	0.6765970185
35	0.8921800948	0.6629402095
36	0.8969194313	0.646730693
37	0.9004739336	0.6378828945
38	0.9063981043	0.6244654347
39	0.904028436	0.6158383182
40	0.9028436019	0.6096379922
41	0.9069905213	0.5980879464
42	0.9063981043	0.5906897489
43	0.9063981043	0.5826692637
44	0.9069905213	0.5751539557
45	0.9093601896	0.566583921
46	0.9099526066	0.5582601139
47	0.9129146919	0.5512304203
48	0.9152843602	0.5449118211
49	0.9152843602	0.5407386091
50	0.9152843602	0.5375507634
51	0.9158767773	0.5264266374
52	0.9170616114	0.5218785828
53	0.9188388626	0.5159770733
54	0.9188388626	0.5129097946
55	0.9176540284	0.5095584877
56	0.922985782	0.5011509789
57	0.922985782	0.4935122668
58	0.922985782	0.4898594165
59	0.922985782	0.484705849
60	0.9241706161	0.4807617534
61	0.9277251185	0.4733876427
62	0.9283175355	0.4705410208
63	0.9277251185	0.4660536892
64	0.9300947867	0.4608264064
65	0.933056872	0.4557624402
66	0.9306872038	0.4519615723
67	0.9318720379	0.4457411735
68	0.9318720379	0.4431622327
69	0.9342417062	0.4397412977
70	0.9342417062	0.4367673834
71	0.9336492891	0.4336552279
72	0.9336492891	0.4290988215
73	0.933056872	0.4256779169
74	0.9354265403	0.4224473831
75	0.9354265403	0.4216310977
76	0.9360189573	0.4193370048
77	0.9377962085	0.416431963
78	0.9377962085	0.413965169
79	0.9389810427	0.4111575746
80	0.9389810427	0.409613474
81	0.9395734597	0.4064567317
82	0.9407582938	0.4034103606
83	0.9407582938	0.3994024216
84	0.941943128	0.395390564
85	0.9413507109	0.3925519126
86	0.941943128	0.3893010242
87	0.942535545	0.3882363442
88	0.9437203791	0.3871321665
89	0.9437203791	0.3851033237
90	0.9454976303	0.3819852435
91	0.9466824645	0.3779994421
92	0.9490521327	0.3758441975
93	0.9484597156	0.3705277936
94	0.9490521327	0.3691055802
95	0.9496445498	0.3673340075
96	0.9484597156	0.3662161341
97	0.9484597156	0.3638634125
98	0.9496445498	0.361141058
99	0.9508293839	0.3565353525
100	0.9514218009	0.3545490719
101	0.952014218	0.3502332337
102	0.9537914692	0.3469985492
