,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,3.471,2.586,2.672,3.812,4.0,3.6,3.314,3.449,2.457,2.365,3.869,2.37,2.652,3.667,2.308,2.942,2.58,2.623,2.612,2.549,2.596,2.394,2.75,2.577,3.167,3.511,3.347,2.701,3.507,3.122,3.624,3.471,3.454,3.664,3.281,2.676,2.86,2.583,2.84,2.753,2.693,3.205,2.66,2.926,3.188,3.775,3.261,4.0,3.983,3.516
Alun-Alun Surabaya,2.714,0.0,2.6,2.656,3.186,3.25,2.731,2.625,2.911,2.212,2.464,3.623,3.82,2.645,3.484,2.191,3.319,2.881,3.294,3.291,2.75,2.915,3.406,3.161,3.015,2.953,3.1,3.029,2.395,3.263,2.632,3.446,3.333,3.315,3.394,3.086,2.667,2.819,2.589,2.801,2.734,2.68,3.106,2.654,2.869,3.492,3.583,2.975,3.878,3.86,3.391
Jalan Tunjungan,4.0,3.571,0.0,3.5,3.875,4.0,3.714,3.385,3.5,2.685,3.778,3.962,2.325,3.98,3.75,2.533,2.947,2.579,2.623,2.611,2.546,2.595,2.389,2.752,2.575,2.461,3.55,3.386,2.758,3.534,3.189,3.64,3.488,3.472,3.685,3.309,3.668,2.918,3.364,2.901,2.803,3.69,3.986,3.619,2.986,3.235,3.787,3.3,4.0,3.983,3.531
Hotel Majapahit,3.5,3.475,3.872,0.0,3.727,3.942,3.577,3.329,3.452,2.577,3.739,3.921,2.158,3.96,3.7,2.431,2.931,2.561,2.604,2.593,2.523,2.576,2.368,2.732,2.55,2.437,3.51,3.354,2.728,3.507,3.144,3.619,3.471,3.455,3.656,3.287,3.65,2.885,3.347,2.867,2.776,3.672,3.972,3.601,2.951,3.201,3.764,3.27,3.983,3.966,3.516
Gedung Negara Grahadi,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Monumen Bambu Runcing,2.835,3.783,2.773,2.801,3.892,0.0,3.762,3.0,2.786,2.652,2.701,3.981,4.0,3.987,3.878,2.586,3.325,2.847,3.297,3.294,2.704,2.883,3.427,3.15,2.983,2.904,3.051,2.798,2.66,3.012,3.031,2.776,3.344,3.323,3.058,3.189,3.759,2.872,3.506,2.86,2.798,3.775,3.99,3.72,2.912,3.347,3.667,2.906,4.0,3.976,3.408
Taman Apsari,2.9,2.765,2.821,2.856,2.312,3.478,0.0,2.971,3.141,2.662,2.726,3.428,3.571,3.627,3.288,2.567,3.243,2.826,3.233,3.23,2.699,2.856,3.299,3.079,2.928,2.857,3.25,3.153,2.563,3.336,2.878,3.482,3.237,3.219,3.457,3.095,3.454,2.917,3.247,2.904,2.824,3.469,3.714,3.422,2.968,3.526,3.394,2.841,3.7,3.685,3.298
Monumen Kapal Selam,2.861,3.164,2.794,2.824,3.164,2.643,2.918,0.0,2.893,2.663,2.715,3.494,3.417,2.788,3.388,2.588,3.142,2.698,3.152,3.148,2.562,2.723,3.165,2.941,2.75,2.642,3.129,3.074,2.465,2.764,2.604,2.578,3.245,3.224,2.767,3.077,2.773,2.89,2.684,2.878,2.81,2.784,3.12,2.759,2.935,3.409,3.179,2.73,3.571,3.556,3.18
Plaza Surabaya,2.854,3.192,2.779,2.812,3.196,3.232,2.917,2.375,0.0,2.619,2.69,3.543,3.674,2.776,3.429,2.54,3.308,2.915,3.287,3.285,2.797,2.947,3.38,3.168,3.044,2.995,3.157,3.09,2.395,2.74,2.485,2.528,2.318,2.294,2.738,2.378,2.762,2.888,2.672,2.875,2.803,2.775,3.132,2.748,2.935,3.451,3.507,3.026,3.761,3.747,3.37
Taman Prestasi,2.757,2.589,2.597,2.676,2.316,3.103,2.357,2.667,2.77,0.0,2.393,2.356,2.49,2.656,2.314,1.909,3.278,2.9,2.193,2.179,2.787,2.93,2.274,3.139,3.017,2.967,3.016,2.969,2.329,3.223,2.659,3.423,2.994,2.972,3.352,3.054,2.678,2.681,2.587,2.652,2.607,2.694,3.194,2.662,2.734,3.089,3.433,2.988,3.682,3.67,3.332
